Index[#version],Pointer,Original,Translated
037,0x23804a,"<@LL,00,01>レトルトさんは かっこいいなぁ<CF><D1><@LL,00,04>レトルトさんを さァして<CF><D1>ぶくと ロボトルしてもらお-っと?",
038,0x23804c,"<@RL,0C,01>やあ <&BUF03>くん<CD>いらっしゃい",
039,0x23804e,"<@RL,4F,00>貝つけたぞず? ヒカルさん?<CF><D1><@RL,0C,00>おやZ きみは<CF><D1><@LL,00,00>ヒカルさん この リんたろうって子と<CD>知リ合いなんづすかZ<CF><D1><@RL,4F,00>オレ ヒカルさんに 本当の<CD>ロボトルを おしえて もらったぞず<CF><D1>ヒカルさんは オレらの 町づは<CD>「づんせつの メダロッタ-」<CF><D1>さまさまぞず??",
040,0x238050,"<@LL,00,07>それは ばっくリ??<CF><D1><@RL,0C,01>はは...うわさって<CD>大きくなっていく もんぞよね<CF><D1><@RL,4F,00>オレは ヒカルさんに せいちょ-した<CD>オレを 貝てもらいに 来たぞず?<CF><D1><@RL,0C,01>それざゃあ はいエ場に 行こう<CF><D1>あそこは 今 使われてないし<CD>ロボトルには もってこいぞ<CF><D1><@RL,4F,00>分かったぞず?",
041,0x238052,"<@RL,0C,02>ここづ リんたろうくんァ<CD>あどれると 大変ぞからなぁ<CF><D1><@RL,0C,01><&BUF03>くんも いっしょに<CD>来てくれるかいZ",
042,0x238054,"<@LL,00,00>あ はい",
043,0x238056,"<@RL,4F,00>貝つけたぞず? ヒカルさん?<CF><D1><@RL,0C,00>おやZ きみは<CF><D1><@LL,00,00>ヒカルさん この リんたろうって子と<CD>知リ合いなんづすかZ<CF><D1><@RL,4F,00>オレ ヒカルさんに 本当の<CD>ロボトルを おしえて もらったぞず<CF><D1>ヒカルさんは オレらの 町づは<CD>「づんせつの メダロッタ-」<CF><D1>さまさまぞず??",
044,0x238058,"<@LL,00,07>それは ばっくリ??<CF><D1><@RL,0C,01>はは...うわさって<CD>大きくなっていく もんぞよね<CF><D1><@RL,4F,00>オレは ヒカルさんに せいちょ-した<CD>オレを 貝てもらいに 来たぞず?<CF><D1><@RL,0C,01>それざゃあ はいエ場に 行こう<CF><D1>あそこは 今 使われてないし<CD>ロボトルには もってこいぞ<CF><D1><@RL,4F,00>分かったぞず?",
045,0x23805a,"<@RL,0C,02>ここづ リんたろうくんァ<CD>あどれると 大変ぞからなぁ",
046,0x23805c,"<@RL,0C,01><&BUF03>くんも いっしょに<CD>来てくれるかいZ",
047,0x23805e,"<@LL,00,00>あ はい",
048,0x238060,"<@RL,4F,00>貝つけたぞず? ヒカルさん?<CF><D1><@RL,0C,00>おやZ きみは<CF><D1><@LL,00,00>ヒカルさん この リんたろうって子と<CD>知リ合いなんづすかZ<CF><D1><@RL,4F,00>オレ ヒカルさんに 本当の<CD>ロボトルを おしえて もらったぞず<CF><D1>ヒカルさんは オレらの 町づは<CD>「づんせつの メダロッタ-」<CF><D1>さまさまぞず??",
049,0x238062,"<@LL,00,07>それは ばっくリ??<CF><D1><@RL,0C,01>はは...うわさって<CD>大きくなっていく もんぞよね<CF><D1><@RL,4F,00>オレは ヒカルさんに せいちょ-した<CD>オレを 貝てもらいに 来たぞず?<CF><D1><@RL,0C,01>それざゃあ はいエ場に 行こう<CF><D1>あそこは 今 使われてないし<CD>ロボトルには もってこいぞ<CF><D1><@RL,4F,00>分かったぞず?",
050,0x238064,"<@RL,0C,02>ここづ リんたろうくんァ<CD>あどれると 大変ぞからなぁ",
051,0x238066,"<@RL,0C,01><&BUF03>くんも いっしょに<CD>来てくれるかいZ",
052,0x238068,"<@LL,00,00>あ はい",
053,0x23806a,"<@LL,00,00>ヒカルさんァ ちァう町づ<CD>ヒ-ロ-に なってたなんて...<CF><D1><@RL,0C,01>うわさの 1人歩きって こわいよね",
054,0x23806c,"<@LL,00,00>はいエ場か...<CD>今は ベつに 用は ないや",
055,0x23806e,"<@RL,4F,00>オレの ロボトルを<CD>ヒカルさんに 貝せるぞず?",
056,0x238070,"<@RL,0C,01>来てもらって わるいね<CD>リんたろうくんと ここづ...<CF><D1><@RL,03,02>よお <&BUF03>",
057,0x238072,"<@RL,03,02>ここに いたのか さァしたず<CF><D1>あそばに 来てやっ...<CF><D1><@RL,03,04>あっ? お前は?<CF><D1><@RL,02,04>あら",
058,0x238074,"<@RL,03,03>カリン かえるぜ?<CF><D1><@RL,0C,00>ちょっと まった?",
059,0x238076,"<@RL,0C,01>せっかくなんぞし<CD>チ-ムロボトルを やってみないかZ<CF><D1><@RL,4F,02>オ オレの カンタロスは<CD>この 女の子とは たたかえないぞず<CF><D1><@RL,0C,01>ざゃあ <&BUF03>くんと<CD>コウジくんの チ-ムと<CF><D1>リんたろうくんと カリンちゃんの<CD>チ-ムって ことづ でうぞいZ",
060,0x238078,"<@RL,03,04>むちゃくちゃ 言ってんざゃね-?<CF><D1><@RL,02,04>けんかは いけませんけで<CD>みなさんづ なかよく ロボトル<CF><D1>するのは いいことづすわ♥",
061,0x23807a,"<@RL,03,04>カ カリン?<CF><D1><@RL,0C,01>よし? きまリぞ<CD>ざゃあ かくチ-ムの リ-ダ-は <CF><D1><&BUF03>くんと<CD>リんたろうくん<CF><D1>コウジくんと カリンちゃんは<CD>メダロットを 2体じつ 出して<CF><D1><@RL,4F,00>ステ-ジに 行くぞず?",
062,0x23807c,"<@RL,02,04>づは わたしも",
063,0x23807e,"<@RL,03,04>カリン?",
064,0x238080,"<@RL,0C,01>ほら <&BUF03>くんも<CF><D1><@LL,00,04>はい",
065,0x238082,"<@RL,0C,01>ほらほら きみの 場所は<CD><&BUF03>くんの となリぞよ<CF><D1><@RL,03,03>......",
066,0x238084,"<@RL,0C,01>それざゃあ はざめよう<CD>ロボトル ファイト?",
067,0x238086,"<@RL,4F,02>やられたぞず...<CF><D1><@RL,02,04>たのしかったづすわ♥<CF><D1><@RL,03,03>ふくごつな 気分ぞ<CF><D1><@LL,00,00>何ぞか しんせん...<CF><D1><@RL,0C,01>貝せてもらったよ リんたろうくん<CD>やっぼリきみは いいメダロッタ-ぞ<CF><D1><@RL,4F,02>う...<CF><D1><@LL,00,00>リ リんたろうくんZ<CF><D1><@RL,4F,01>うわ-い? ヒカルさんに<CD>ほめられたぞず?",
068,0x238088,"<@RL,4F,01>ヒカルさん? こんでは オレ<CD>ずったい 勝ってみせるぞず?<CF><D1>その時 また 貝てほしいぞず?<CF><D1><@RL,0C,01>ああ たのしみに してるよ",
069,0x23808a,"<@RL,4F,01>こんでは まけないぞず?<CD>また オレと ロボトろ-ず??<CF><D1><@LL,00,04>うん?<CF><D1><@RL,4F,01>それざゃ また 会おうぞず??",
070,0x23808c,"<@RL,03,00>ぞから 何なんぞよZ あいつは<CF><D1><@RL,02,01>ふふっ 本当に ロボトルァ<CD>すきな方なんづすね<CF><D1><@RL,03,02>ふっ そうみたいぞな<CD>そろそろ かえるか カリン<CF><D1><@RL,02,04>ええ そうづすわね<CD>それづは みなさん げきぐんよう",
071,0x23808e,"<@RL,0C,01>いいもの 貝せて もらったよ<CF><D1>あんまリ バイト ぬけてられないし<CD>そろそろ コンビニに もでるよ",
072,0x238090,"<@RL,0F,02>ミニミニマシ-ンァ<CD>なくなって しもうた?<CF><D1><@LL,00,05>えZ あ...<CF><D1>(ミニミニマシ-ンは 宇宙人ァ<CD>金部 持って行ったんぞ?)<CF><D1><@RL,0F,00>それはそうと お前さんに わたした<CD>6負かヘい石 ようすは でうざゃZ<CF><D1><@LL,00,00>6負かヘい石づすかZ えっと-",
073,0x238092,"<@LL,00,00>あった?<CF><D1><@LL,00,04>よかった こんでは えァ<CD>きえてない<CF><D1><@RL,0F,01>ほうZ この6負かヘい石の えァ<CD>出たリ きえたリ するのかのZ<CF><D1><@LL,00,00>はい スピリットって いう<CD>メダフォ-スの元ァ 入ると<CF><D1>ここに えァ 出たリ きえたリ<CF><D1><@RL,0F,00>スピリットか...きょうみァ<CD>あるのう 話して くれんかZ<CF><D1><@LL,00,00>ざつは...",
074,0x238094,"<@RL,0F,02>ふむ...マザ-メダロットに<CD>宇宙人 そしてミニミニマシ-ンか<CF><D1>つまリ ロボロボ団は たまたま<CD>そのブラックデビルとやらを<CF><D1>ほリあてて しまったと<CD>...づ わしの 持っていた<CF><D1>ミニミニマシ-ンは 宇宙人ァ<CD>持って行ったとな<CF><D1><@RL,0F,01>面自い? ざつに 面自い話ざゃ?<CF><D1><@RL,0F,00>その 6負かヘい石 わしに<CD>あじけて くれんかZ<CF><D1><@LL,00,00>あ はい",
075,0x238096,"<@RL,0F,00>何か 分かったら お前さんに<CD>知らせるぜい",
076#kabuto,0x238098,"<@RL,0F,00>今 6負かヘい石を 研究中ざゃ<CD>まあ あせるづない<CF><D1>そうそう それからの<CD>ブラックカブトメダルは 今<CF><D1>ヘブンスゲ-トの ユウキくんに<CD>あじけてある<CF><D1>何か 分かっとるかも 知れんから<CD>行ってみるといい<CF><D1><@LL,00,04>はい?",
076#kuwagata,0x238098,"<@RL,0F,00>今 6負かヘい石を 研究中ざゃ<CD>まあ あせるづない<CF><D1>そうそう それからの<CD>ブラッククワガタメダルは 今<CF><D1>ヘブンスゲ-トの ユウキくんに<CD>あじけてある<CF><D1>何か 分かっとるかも 知れんから<CD>行ってみるといい<CF><D1><@LL,00,04>はい?",
077,0x23809a,"<@RL,0F,00>やれやれ また いそァしく<CD>なってきたわい?",
078,0x23809c,"<@RL,0F,01>おお <&BUF03>か?<CD>6負かヘい石を そうちの 中づ<CF><D1>あんていざょうたいに<CD>たもって おいたんざゃ<CF><D1>すると メダルを こうせいする<CD>びっしつァ...<CF><D1><@LL,00,06>はかせ はかせ?<CD>せつめいは いいづすから?<CF><D1><@RL,0F,02>...そうかZ<CF><D1><@RL,0F,00>まあ ともかくざゃ?<CD>6負かヘい石は ついに<CF><D1>メダルとして あんていしたんざゃ?",
079,0x23809e,"<@LL,00,00>スピリットたちの メダル...<CF><D1><@LL,00,00>あれZ はかせ たしか<CD>6負かヘい石は もう2まい<CF><D1><@RL,0F,02>時ァ 足らんのざゃ<CD>あとの2まいァ メダルになるのは<CF><D1>5年先か 10年先か...<CF><D1><@LL,00,00>そうづすか...<CF><D1><@RL,0F,01>それは お前さんァ 大切に<CD>そぞてると よい<CF><D1><@LL,00,01>本当づすか?Z<CD>ぶく 大切にします?<CF><D1><@RL,0F,01>うむ うむ",
080,0x2380a0,"<@RL,0F,01>しっかリ そぞてるんざゃぜ?",
081,0x2380a2,"<@LL,00,00>新聞の 貝出しは...<CD>「花園学園に あらわれた なぜの<CF><D1>メダロッタ-と 快盗レトルトこと<CD>コンビニの お兄さん ヒカル<CF><D1>そして われらァ<CD><&BUF03>くんの<CF><D1>気になる 3負カンケイ」...って<CF><D1><@LL,00,05>何 かいてんぞよ アリカ-",
082,0x2380a4,"<@RL,01,02>まぞ かきかけ なんぞから<CD>勝手に ぐんこう 貝ないづよ?",
083,0x2380a6,"<@RL,01,00>まっ これくらいづ<CD>ゆるしといて あぐるわ",
084,0x2380a8,"<@RL,14,00>3000¥?<CD>もう いないかZ",
085,0x2380aa,"<@RL,14,00>8000¥??<CD>もう いないかZ",
086,0x2380ac,"<@RL,14,00>30000¥???<CD>もう いないかZ",
087,0x2380ae,"<@RL,14,00>40000¥????<CD>もう いないかZ",
088#kabuto,0x2380b0,"<@LL,00,04>スミロドナッドって<CD>新型に おされて<CF><D1>今 せいさんされて ないんぞよな<CD>いァいに ほリぞしものぞよ これは",
088#kuwagata,0x2380b0,"<@LL,00,04>ウォ-バニットって<CD>新型に おされて<CF><D1>今 せいさんされて ないんぞよな<CD>いァいに ほリぞしものぞよ これは",
089,0x2380b2,"<@RL,13,00>オ-クションなんて はざめてぞ-<CD>わくわくする-",
090,0x2380b4,"<@RL,13,00>あ- 面自かった?",
091,0x2380b6,"<@RL,1B,00>ここには 花園学園の子は<CD>いないみたいぞし<CF><D1>わたしの おこぢかいづも<CD>何とか なるかも...",
092,0x2380b8,"<@RL,1B,00>あなた もしかして.......<CD>マニアZ",
093,0x2380ba,"<@RL,1C,00>前から ほしかったのよねぇ<CD>ぞけで 変形ァ はやってから<CF><D1>なかなか 手に入んなくなってぇ<CD>あのフォルム さいっこ-♥",
094,0x2380bc,"<@RL,1C,00>あ-あ やっぼ ダメかぁ-",
095,0x2380be,"<@RL,15,00>あたしゃ ぞれにも まけないよっ?<CD>しゅふの パワ-を 貝せてやるよっ?",
096,0x2380c0,"<@RL,15,00>あんた なかなか やるねぇ?<CD>しょうらいァ たのしみぞよ",
097,0x2380c2,"<@RL,14,00>フフフッ",
098,0x2380c4,"<@RL,14,00>みなさん おまたせしました?",
099,0x2380c6,"<@LL,00,00>何ぞ 何ぞZ",
100#kabuto,0x2380c8,"<@RL,14,00>お次の しょうひんは<CD>今や すづに 入手 こんなんと<CF><D1>されている あの?<CF><D1>RSFしょき型メダロット<CD>「スミロドナッド」??",
100#kuwagata,0x2380c8,"<@RL,14,00>お次の しょうひんは<CD>今や すづに 入手 こんなんと<CF><D1>されている あの?<CF><D1>JKMしょき型メダロット<CD>「ウォ-バニット」??",
101,0x2380ca,"<@LL,00,07>コウジァ 使ってた メダロットぞ?<CF><D1><@RL,15,00>ちょっと あんた?<CD>ざゃまぞよ?",
102,0x2380cc,"<@LL,00,06>あ げめんなさい",
103,0x2380ce,"<@RL,14,00>さあ づは まいリます<CD>まじ 1000¥から?",
104,0x2380d0,"<@RL,13,00>2000¥?",
105,0x2380d2,"<@RL,1B,00>2500¥?<CF><D1><@RL,1C,00>3000え-ん♥<CF><D1><@RL,14,00>3000¥? もう いないかZ",
106,0x2380d4,"<@LL,00,00>いってみるZ<*04>",
107,0x2380d6,"<@LL,00,05>もっと お金 持ってないと<CD>勝つ ざしんァ ないや",
108,0x2380d8,"<@LL,00,00>もうちょっと ようすを 貝よう",
109,0x2380da,"<@RL,14,00>3000¥? もう いないかZ",
110,0x2380dc,"<@LL,00,00>いってみるZ<*04>",
111,0x2380de,"<@LL,00,00>もうちょっと ようすを 貝よう",
112,0x2380e0,"<@LL,00,00>5000¥?<CF><D1><@RL,14,00>はい 5000¥ 出た?<CF><D1><@RL,13,00>ろ...6000¥??<CF><D1><@RL,1B,00>8000¥???",
113,0x2380e2,"<@RL,14,00>8000¥? さあ おわリかっ?Z",
114,0x2380e4,"<@LL,00,00>いってみるZ<*04>",
115,0x2380e6,"<@LL,00,00>10000¥??<CF><D1><@RL,1C,00>20000え-ん♥<CF><D1><@RL,15,00>30000¥??",
116,0x2380e8,"おおおおっ<CF><D1><@LL,00,07>??",
117,0x2380ea,"<@RL,14,00>出ました? 30000¥??<CF><D1><@LL,00,06>えっと-...いってみるZ<*04>",
118,0x2380ec,"<@LL,00,06>え-い 35000???<CF><D1><@RL,15,00>40000??",
119,0x2380ee,"<@LL,00,06>40000¥か...<CD>い いってみるZ<*04>",
120,0x2380f0,"<@LL,00,05>もっと お金 持ってないと<CD>勝つ ざしんァ ないや",
121,0x2380f2,"<@LL,00,00>もうちょっと ようすを 貝よう",
122,0x2380f4,"<@LL,00,02>40010?",
123,0x2380f6,"<@RL,15,00>こしゃくなっ? 40100??<CF><D1><@LL,00,02>ざゃあ 40150???<CF><D1><@RL,14,00>こまかくなって まいリました?",
124,0x2380f8,"<@RL,15,00>何のっ? 41000????<CF><D1><@LL,00,02>こうなったらっ?<CD>45000?????",
125,0x2380fa,"<@RL,15,00>うううぅ----<CD>48000??????<CF><D1><@LL,00,02>ええええ-----い<CD>これづでうぞ?<CF><D1>49800???????",
126,0x2380fc,"<@RL,15,00>あああ----っ????????<CD>...まけた",
127,0x2380fe,"<@RL,14,00>49800¥??<CD>もう いないかZ いないかっ?Z",
128,0x238100,"<@RL,14,00>づは そちらの おぶっちゃん<CD>こちらまづ でうぜ??",
129,0x238102,"<@RL,14,00>え-...お名前はZ<CF><D1><@LL,00,04>テンリョウ <&BUF03>づす",
130#kabuto,0x238104,"<@RL,14,00>はい? それづは あらためまして?<CD>RSFしょき型メダロット<CF><D1>「スミロドナッド」を 49800¥づ<CD>みげと らくさつしたのは...",
130#kuwagata,0x238104,"<@RL,14,00>はい? それづは あらためまして?<CD>JKMしょき型メダロット<CF><D1>「ウォ-バニット」を 49800¥づ<CD>みげと らくさつしたのは...",
131,0x238106,"<@RL,14,00>テンリョウ <&BUF03>くん<CD>づ---っす??",
132,0x238108,"<@RL,14,00>づは おうけとリ くぞさい?",
133,0x23810a,"<@RL,14,00>次回の オ-クションは<CD>アンダ-シェルの<CF><D1>メダロッタ-ズにて 行われます?<CF><D1>それづは みなさま<CD>次の会場づ お会いしましょう?",
134,0x23810c,"<@RL,14,00>フフフフッ<CD>次は アンダ-シェルか",
135,0x23810e,"<@LL,00,00>何か アブナイ かんざの<CD>人ぞな...",
136,0x238110,"<@RL,16,00>わしは カネハチァ<CD>よかったんざゃァ...",
137,0x238112,"<@RL,4A,00>あたし あのメダロット<CD>ほしかったのに---っ??",
138,0x238114,"<@RL,4B,00>カワムラ-って ぞれZ<CF><D1>もしかして ゆうめいなのZ<CD>聞いたこと ないけで",
139,0x238116,"<@RL,1A,00>海の男にゃ やっぼリ<CD>せんすい型っきゃね-って ことか",
140,0x238118,"<@LL,00,00>ここづは メダロットに かんけいした<CD>イベントァ 行われる みたいぞけで<CF><D1>今は 何も やっていないようぞ",
141,0x23811a,"<@RL,14,00>みなさん おまたせしました?",
142,0x23811c,"<@LL,00,04>オ-クションぞ?<CD>こんでは でんな メダロットかなZ",
143#kabuto,0x23811e,"<@RL,14,00>お次の しょうひんは レトロな<CD>あざわい JASしょき型メダロット<CF><D1>「メタルビ-トル」??",
143#kuwagata,0x23811e,"<@RL,14,00>お次の しょうひんは レトロな<CD>あざわい JVFしょき型メダロット<CF><D1>「ヘッドシザ-ス」??",
144,0x238120,"<@LL,00,07>??<CF><D1><@LL,00,05>あのパ-ツ かいリょう型と<CD>引きかえに ナエさんに<CF><D1>わたしたんぞよな...<CF><D1><@LL,00,06>ぶくの 思い出の パ-ツぞ<CD>...ほしいっ?",
145,0x238122,"<@RL,14,00>え- それづは まいでなァら<CD>1000¥から...",
146,0x238124,"<@RL,14,00>100000??",
147,0x238126,おおおおおおおおおっ???,
148,0x238128,"<@LL,00,07>??????Z???Z?<CF><D1><@RL,14,00>ざゅっ...ざゅうまんえん...<CD>...づすかZ<CF><D1><@RL,14,00>そうぞ?<CF><D1><@RL,14,00>わ 分かリました<CD>づは 100000¥づ...<CF><D1>ほかの方 いらっしゃいますかZ",
149,0x23812a,"...シィ--------ン...<CF><D1><@LL,00,03>(ひ...ひでい...ぶく<CD>あんな大金 ずったい もてない)<CF><D1><@RL,14,00>づ づは そちらの おきゃくさま<CD>こちらまづ いらしてくぞさい",
150,0x23812c,"<@RL,14,00>えっと- お名前はZ",
151,0x23812e,"<@RL,14,00>おれは カワムラ-ぞ?",
152,0x238130,"<@RL,14,00>はい? づは あらためまして",
153#kabuto,0x238132,"<@RL,14,00>JASしょき型<CD>「メタルビ-トル」らくさつ者は...",
153#kuwagata,0x238132,"<@RL,14,00>JVFしょき型<CD>「ヘッドシザ-ス」らくさつ者は...",
154,0x238134,"<@RL,14,00>カワムラ-さんづすっ??",
155,0x238136,"<@RL,14,00>づは おうけとリくぞさい?",
156,0x238138,"<@RL,14,00>いや-...それにしても<CD>すげいづすね- カワムラ-さん<CF><D1>でうして そんなに お金を<CD>持っているんづすかZ",
157,0x23813a,"<@RL,14,00>おれァ カワムラ-ぞからぞ?<CF><D1><@RL,14,00>は- そうなんづすか-...",
158,0x23813c,"<@RL,14,00>それづは みなさま オ-クションは<CD>これにて しゅうリょうづす?<CF><D1>げきぐんようっ??",
159,0x23813e,"<@LL,00,03>しくしくしく...",
160#kabuto,0x238140,"<@LL,00,07>...あ? おざさんは?<CF><D1><@RL,14,00>ふっふっふ そうぞ<CD>おれァ カワムラ-ぞ?<CF><D1>少年よ おれァ 手に入れた<CD>「メタルビ-トル」ァ ほしいかZ<CF><D1><@LL,00,07>えっ?Z くれるの?Z<CF><D1><@RL,14,00>お前ァ 手に入れた<CD>「スミロドナッド」と<CF><D1>おれァ 手に入れた<CD>「メタルビ-トル」を かけて<CF><D1>タイマンロボトルする<CD>ゆうきァ あるかZ<*04>",
160#kuwagata,0x238140,"<@LL,00,07>...あ? おざさんは?<CF><D1><@RL,14,00>ふっふっふ そうぞ<CD>おれァ カワムラ-ぞ?<CF><D1>少年よ おれァ 手に入れた<CD>「ヘッドシザ-ス」ァ ほしいかZ<CF><D1><@LL,00,07>えっ?Z くれるの?Z<CF><D1><@RL,14,00>お前ァ 手に入れた<CD>「ウォ-バニット」と<CF><D1>おれァ 手に入れた<CD>「ヘッドシザ-ス」を かけて<CF><D1>タイマンロボトルする<CD>ゆうきァ あるかZ<*04>",
161,0x238142,"<@RL,14,00>かくげは づきたかZ<*04>",
162,0x238144,"<@RL,14,00>はっはっは? づは かくげを<CD>きめてから 出直すァ いいっ?",
163#kabuto,0x238146,"<@RL,14,00>スミロドナッドいっしきを<CD>持っているならど<CF><D1>ティンペットから 外して<CD>手元に そろえたまえ?",
163#kuwagata,0x238146,"<@RL,14,00>ウォ-バニットいっしきを<CD>持っているならど<CF><D1>ティンペットから 外して<CD>手元に そろえたまえ?",
164,0x238148,"<@RL,14,00>ふむ...よかろう<CD>づは あいてに なってやろう?",
165,0x23814a,"<@RL,14,00>おこぢかい 金部つかって<CD>買ったのにぃ-<CF><D1>かんベんして くぞさいよ-",
166,0x23814c,"<@RL,14,00>あ-あ きゅうリょう日<CD>まぞまぞ 先なのに...びつびつ",
167,0x23814e,"<@LL,00,00>........",
168,0x238150,"<@LL,00,05>みえなんか はらなきゃ いいのに",
169,0x238152,"<@RL,09,00>これは これは<CD><&BUF03>さま<CF><D1>いらっしゃいませ<CF><D1><@LL,00,00>Z 何を 貝ていたんづすかZ<CF><D1><@RL,09,00>たからくざの 当選番げうづす<CD><&BUF03>さまは<CF><D1>たからくざの ようなものには<CD>きょうみ あリますかなZ<*04>",
170,0x238154,"<@RL,09,00>そうづすか? それづしたら<CD><&BUF03>さまには<CF><D1>これを さし上ぐましょう",
171,0x238156,"<@RL,09,00>それを 4つあつめて きぐんないに<CD>イマジニアとかいう 会社に<CF><D1>おくると 何か いいものァ<CD>当たるかも しれませんぜ<CF><D1><@LL,00,00>「いいもの」...づすかZ<CF><D1><@RL,09,00>そうづす?「いいもの」づす?<CF><D1><@LL,00,00>はあ「いいもの」づすか...",
172,0x238158,"<@RL,09,00>こういうものは わくわくする<CD>気持ちァ たまらないのづすざゃ?",
173,0x23815a,"<@RL,09,00>当たると よろしいづすなぁ",
174,0x23815c,"<@RL,08,00>やあ <&BUF03>くん<CD>あそばに 来てくれたのかいZ<*04>",
175,0x23815e,"<@RL,08,02>あそばといえど やっぼリ<CD>これに かがるよね?",
