Index[#version],Pointer[#version|],Original,Translated
069,0x9239e#kabuto|0x923a0#kuwagata,せいのうだけじゃ かてないのか-っ?<CD><*02>,
070,0x923a0#kabuto|0x923a2#kuwagata,どんな ちけいでも<CD>うかんでいれば かんけいないよっ<*02>,
071,0x923a2#kabuto|0x923a4#kuwagata,あ-<CD>ぼくは ながされていく-...<*02>,
072,0x923a4#kabuto|0x923a6#kuwagata,けわしい やまみちだって<CD>あしが たくさんあれば ヘいきさっ<*02>,
073,0x923a6#kabuto|0x923a8#kuwagata,あっ あしが もつれた-っ<CD><*02>,
074,0x923a8#kabuto|0x923aa#kuwagata,もリみたいな いリくんだ ばしょでは<CD>きどうせいが ものを いうぞ!!<*02>,"In the forest, manuverability<D3>is the name of the game!!<*02>"
075,0x923aa#kabuto|0x923ac#kuwagata,しかいが さえぎられて<CD>よく みえないっ<*02>,I couldn't see because<D3>my view was blocked!<*02>
076,0x923ac#kabuto|0x923ae#kuwagata,はしって はしって<CD>はしリまくるぞぉ!<*02>,
077,0x923ae#kabuto|0x923b0#kuwagata,はしるだけなら はやいんだけどなぁ<CD><*02>,
078,0x923b0#kabuto|0x923b2#kuwagata,いっぱつの ダメ-ジは<CD>だれにも まけないよ<*02>,
079,0x923b2#kabuto|0x923b4#kuwagata,うごきが おそくて<CD>てきに おいつけないよ-っ<*02>,
080,0x923b4#kabuto|0x923b6#kuwagata,みずの ちかくじゃないと<CD>パワ-が でないよね-っ<*02>,
081,0x923b6#kabuto|0x923b8#kuwagata,きょうは みずあびしてから<CD>ぐっすリ ねよう<*02>,
082,0x923b8#kabuto|0x923ba#kuwagata,おんなだと おもって<CD>あまく 貝ないことね<*02>,
083,0x923ba#kabuto|0x923bc#kuwagata,ほんとうに てかげんも しないのね<CD><*02>,
084,0x923bc#kabuto|0x923be#kuwagata,グルルルル...ニンゲンヨ<CD>ワガ ソンザイニ キョウフセヨ!<*02>,"GRRRR..... FEAR ME, FECKLESS<D3>HUMAN!<*02>"
085,0x923be#kabuto|0x923c0#kuwagata,オマエハ アクマヲモ<CD>オソレヌト イウノカ!?<*02>,IMPOSSIBLE! ARE YOU NOT<D3>AFRAID OF DEMONS!?<*02>
086,0x923c0#kabuto|0x923c2#kuwagata,ニンゲンめ! おとなしく<CD>したがっていれば いいものを!<*02>,
087,0x923c2#kabuto|0x923c4#kuwagata,われに したがわぬならば<CD>ほろびてしまうが いい!<*02>,
088,0x923c4#kabuto|0x923c6#kuwagata,あ.そ.ぼ!<CD><*02>,
089,0x923c6#kabuto|0x923c8#kuwagata,もう.おしまい?<CD>つまんな-い!<*02>,
090,0x923c8#kabuto|0x923ca#kuwagata,ニンゲンは 海を よごす<CD><*02>,Humans pollute the sea!<*02>
091,0x923ca#kabuto|0x923cc#kuwagata,青い海に ぼくたちの<CD>いばしょが なくなっていく...<*02>,Our great blue sea is being<D3>soiled...<*02>
092,0x923cc#kabuto|0x923ce#kuwagata,きみは ロボトルが すきかい?<CD><*02>,
093,0x923ce#kabuto|0x923d0#kuwagata,ニンゲンの れきしは たたかいから<CD>はじまったんだってね...<*02>,The history of Man was<D3>birthed from war...<*02>
094,0x923d0#kabuto|0x923d2#kuwagata,お前なんか にゃ-の 前から<CD>きえちゃうのにゃ-!<*02>,
095,0x923d2#kabuto|0x923d4#kuwagata,にゃ-っ!<CD><*02>,Mrr-ow!!<*02>
096,0x923d4#kabuto|0x923d6#kuwagata,ニンゲン...テキ!<CD><*02>,DESTROY.... HUMANS!<*02>
097,0x923d6#kabuto|0x923d8#kuwagata,ニンゲン カナラズ タオス!<CD><*02>,HUMANS MUST BE<D3>ERADICATED!<*02>
098,0x923d8#kabuto|0x923da#kuwagata,お手なみ はいけんと いきましょう<CD><*02>,
099,0x923da#kabuto|0x923dc#kuwagata,あなたとの ロボトルは<CD>わたしの むねを あつくするのです<*02>,
100,0x923dc#kabuto|0x923de#kuwagata,大人を からかっちゃ いけないよ!<CD><*02>,
101,0x923de#kabuto|0x923e0#kuwagata,いや- つよいね きみは<CD><*02>,
102,0x923e0#kabuto|0x923e2#kuwagata,このわたしが ロボトルするなんて<CD>思っても みなかったわ<*02>,
103,0x923e2#kabuto|0x923e4#kuwagata,けっこう ロボトルって たのしいわね<CD>はまリそうだわ♥<*02>,
104,0x923e4#kabuto|0x923e6#kuwagata,しんけん しょうぶに<CD>いろんは ない<*02>,
105,0x923e6#kabuto|0x923e8#kuwagata,...たのしかったぜ<CD><*02>,
106,0x923e8#kabuto|0x923ea#kuwagata,ぼくも つよくなって いつか<CD>兄さんに 勝ってみせる!<*02>,
107,0x923ea#kabuto|0x923ec#kuwagata,あ- たのしかったぁ<CD>また あそんでよ!<*02>,Ahh that was fun!<D3>Let's do that again sometime!<*02>
108,0x923ec#kabuto|0x923ee#kuwagata,きみが あいてか<CD>あいてに とって ふそくはないさ<*02>,
109,0x923ee#kabuto|0x923f0#kuwagata,ふっ なかなか やるね<CD><*02>,"Hmph, not bad. <*02>"
110,0x923f0#kabuto|0x923f2#kuwagata,いくわよっ ベティ!<CD><*02>,"Let's go, Betty!<*02>"
111,0x923f2#kabuto|0x923f4#kuwagata,ベティ! あんたは ほんとに<CD>わるい子ねっ<*02>,
112,0x923f4#kabuto|0x923f6#kuwagata,なんじゃくな 男なんかよリ<CD>女の子の方が こわいと 思わない?<*02>,"Girls can be much scarier than<D3>puny boys, don't you think?<*02>"
113,0x923f6#kabuto|0x923f8#kuwagata,あたしが まけるなんて<CD>しんじらんない!<*02>,I can't believe I actually lost!<*02>
114,0x923f8#kabuto|0x923fa#kuwagata,ぼくらにだって 男の いじがある!<CD><*02>,We'll protect our manly pride!<*02>
115,0x923fa#kabuto|0x923fc#kuwagata,男の いじなんて はかないよね...<CD><*02>,"""Manly pride"" is quite fragile...<*02>"
116,0x923fc#kabuto|0x923fe#kuwagata,お金が あれば パ-ツあつめなんて<CD>楽勝だよね<*02>,"As long as you got money,<D3>getting parts is a cakewalk.<*02>"
117,0x923fe#kabuto|0x92400#kuwagata,...お金が あっても<CD>勝てるとは かぎらないよね<*02>,Having money doesn't always<D3>mean you'll win though...<*02>
118,0x92400#kabuto|0x92402#kuwagata,ふ-ん 地上から 来た人なんだ<CD>あなたの お家は お金持ち?<*02>,Hmm? You came from the<D3>surface? Are you rich?<*02>
119,0x92402#kabuto|0x92404#kuwagata,お金が なくても そんな ワイルドな<CD>あなたは ステキよ♥<*02>,"Even if you aren't rich, I like<D3>that wild style of yours ♥<*02>"
120,0x92404#kabuto|0x92406#kuwagata,ンッ?<CD>ロボトルロボトル...<*02>,"Mm?<D3>A robattle, a robattle...<*02>"
121,0x92406#kabuto|0x92408#kuwagata,ン-ッ?<CD>ボロトルトボロトル...<*02>,"Mm?<D3>A borattle, a borattle...<*02>"
122,0x92408#kabuto|0x9240a#kuwagata,オレと ロボトろ-ぜっ!!<CD><*02>,Robattle me!!<*02>
123,0x9240a#kabuto|0x9240c#kuwagata,ロボトったぜ-っ!!<CD><*02>,I was robattled!!<*02>
124,0x9240c#kabuto|0x9240e#kuwagata,ふふふっ<CD>わたしが 白玉です<*02>,Fufufu<D3>I am Shiratama!<*02>
125,0x9240e#kabuto|0x92410#kuwagata,ふっ ふふふっ<CD>ふははははははっ!!<*02>,Fu...fufufu...<D3>Fuahahahaha!!<*02>
126,0x92410#kabuto|0x92412#kuwagata,いち きょうしとして<CD>きみと ロボトルだ!!<*02>,"As a superb teacher,<D3>I'll robattle you!!<*02>"
127,0x92412#kabuto|0x92414#kuwagata,いち きょうしとして まんぞくしたぞ<CD><*02>,"As a superb teacher,<D3>I'm satisfied.<*02>"
128,0x92414#kabuto|0x92416#kuwagata,いち きょうしとして<CD>あなたと ロボトルです!!<*02>,
129,0x92416#kabuto|0x92418#kuwagata,まんぞくで-す<CD><*02>,
130,0x92418#kabuto|0x9241a#kuwagata,ピ- ピピピ<CD><*02>,Pi- pipipi<D3><*02>
131,0x9241a#kabuto|0x9241c#kuwagata,ピピピ ピ-...<CD><*02>,Pipipi pi-...<D3><*02>
132,0x9241c#kabuto|0x9241e#kuwagata,あたしたちは なく子も だまる<CD>シ-フェアリ-ズ!<*02>,We are the Sea Fairies! We<D3>never let up even if you cry!<*02>
133,0x9241e#kabuto|0x92420#kuwagata,も-っ ゆるさないんだから!<CD><*02>,"Geeeez, I won't let you get away with this!<*02>"
134,0x92420#kabuto|0x92422#kuwagata,シ-フェアリ-ズの リ-ダ-を<CD>なめてんじゃ ないわよ!<*02>,Don't underestimate the<D3>leader of the Sea Fairies!<*02>
135,0x92422#kabuto|0x92424#kuwagata,ヘぇ...<CD>なかなか やるじゃない!<*02>,Hee...<D3>You're pretty good!<*02>
136,0x92424#kabuto|0x92426#kuwagata,   頭「ガルルッ ガウッ!」<CD>右「やるんか?ワレ」左「やるデ-ス」<*02>,
137,0x92426#kabuto|0x92428#kuwagata,   頭「キャイン キャイン!」<CD>右「なんでやねん!」左「まけデ-ス」<*02>,
138,0x92428#kabuto|0x9242a#kuwagata,みなさん ごぞんじの とおリ<CD>わたしが カワムラ-です!<*02>,
139,0x9242a#kabuto|0x9242c#kuwagata,ひえぇぇぇ<CD>かんベんして くださいよぉ<*02>,
140,0x9242c#kabuto|0x9242e#kuwagata,わたしは ここを うごくわけには<CD>いきません!<*02>,
141,0x9242e#kabuto|0x92430#kuwagata,まけてしまっては<CD>しかたが ないですね...<*02>,
142,0x92430#kabuto|0x92432#kuwagata,いくよ おまえたちぃ!<CD>目にもの 貝せてあげるのよぉ!<*02>,Let's go guys!<D3>Let's show 'em what we got!<*02>
143,0x92432#kabuto|0x92434#kuwagata,まけゼリフなんて<CD>言ってあげないんだからぁ!!<*02>,I'm not gonna make a losing remark!!<*02>
144,0x92434#kabuto|0x92436#kuwagata,これいじょう 先に<CD>行かせるわけには いきません!<*02>,
145,0x92436#kabuto|0x92438#kuwagata,ここは き.け.ん...<CD><*02>,
146,0x92438#kabuto|0x9243a#kuwagata,これが...<CD>コンビニェ-ションアタック!!<*02>,This is...<D3>a combination attack!!<*02>
147,0x9243a#kabuto|0x9243c#kuwagata,これじゃ...<CD>コンビニェ-ション ボロボロ-<*02>,Just like that...<D3>the combination is exhausted.<*02>
148,0x9243c#kabuto|0x9243e#kuwagata,「アンビリバボ-」と「ぼ-ず」で<CD>アンビリバボ-ズ!!<*02>,"""Unbelievable"" and ""boys,"" we<D3>are the Unboylievables!!<*02>"
149,0x9243e#kabuto|0x92440#kuwagata,アン.ビリ-バボ-ズ!!<CD><*02>,Un-boy-lieveable!!<D3><*02>
150,0x92440#kabuto|0x92442#kuwagata,あそんであげても いいですよぉ<CD>キクヒメ「うるさいわよぉ!」<*02>,I get to play with you!<CF>Kikuhime: Shut it!<*02>
151,0x92442#kabuto|0x92444#kuwagata,ちょっと シャレに なんないですよぉ<CD>キクヒメ「うっとうしいわねぇ!!」<*02>,That was a bit embarassing.<CF>Kikuhime: You're so annoying!<*02>
152,0x92444#kabuto|0x92446#kuwagata,ギンジョウ小学校で 1ばんの<CD>びしょうじょ 3にんぐみ!<*02>,We are Ginjo Elementary's<D3>three most beautiful girls!<*02>
153,0x92446#kabuto|0x92448#kuwagata,びしょうじょ コンテストなら<CD>まけないのに<*02>,We wouldn't have lost in a<D3>beauty contest.<*02>
154,0x92448#kabuto|0x9244a#kuwagata,チ-ムロボトルロボ!<CD><*02>,"Team robattle, robo!<D3><*02>"
155,0x9244a#kabuto|0x9244c#kuwagata,チ-ムボロトルロボ...<CD><*02>,"Team borattle, robo...<D3><*02>"
156,0x9244c#kabuto|0x9244e#kuwagata,3にんよれば もんじゅの ちえ!<CD><*02>,
157,0x9244e#kabuto|0x92450#kuwagata,もんじゅって なに?<CD><*02>,
158,0x92450#kabuto|0x92452#kuwagata,3本の や!<CD><*02>,
159,0x92452#kabuto|0x92454#kuwagata,しまった! 3本の やは<CD>1本ずつ おれば いいのか...<*02>,
160,0x92454#kabuto|0x92456#kuwagata,<CD><*02>,
161,0x92456#kabuto|0x92458#kuwagata,<CD><*02>,
162,0x92458#kabuto|0x9245a#kuwagata,おこしゃま ひきちゅれ<CD>ロボトルでしゅ!<*02>,
163,0x9245a#kabuto|0x9245c#kuwagata,まだまだ おこしゃまでしゅね-っ<CD>やくに たたないでしゅよ<*02>,
164,0x9245c#kabuto|0x9245e#kuwagata,<CD><*02>,
165,0x9245e#kabuto|0x92460#kuwagata,<CD><*02>,
166,0x92460#kabuto|0x92462#kuwagata,おとなしく ヤキ入れられな!!<CD><*02>,
167,0x92462#kabuto|0x92464#kuwagata,コンガリ やきざかなっ!!<CD><*02>,
168,0x92464#kabuto|0x92466#kuwagata,A「きみたちに かてば...」<CD>B「まだ 言ってるよ...」<*02>,
169,0x92466#kabuto|0x92468#kuwagata,A「きみたちに かってれば...」<CD>C「まあ がんばったけどね」<*02>,
170,0x92468#kabuto|0x9246a#kuwagata,<CD><*02>,
171,0x9246a#kabuto|0x9246c#kuwagata,<CD><*02>,
172,0x9246c#kabuto|0x9246e#kuwagata,あいてが 何人で あろうと<CD>おなじことだ<*02>,The results won't change no<D3>matter of how many face me.<*02>
173,0x9246e#kabuto|0x92470#kuwagata,それで 勝った つもリか?<CD><*02>,Is that how you plan on<D3>winning?<*02>
174,0x92470#kabuto|0x92472#kuwagata,お前たちの じつリょくを 貝せてみろ<CD><*02>,Show me your strength <*02>
175,0x92472#kabuto|0x92474#kuwagata,...なるほどな<CD><*02>,... I see.<*02>
176,0x92474#kabuto|0x92476#kuwagata,<CD><*02>,<*02>
177,0x92476#kabuto|0x92478#kuwagata,<CD><*02>,<*02>
178,0x92478#kabuto|0x9247a#kuwagata,リんたろう「ロボトろ-ぜっ!」<CD>カリン  「ろ-ぜっ...ですわ♥」<*02>,
179,0x9247a#kabuto|0x9247c#kuwagata,リんたろう「まけちまっただぜ!」<CD>カリン  「だぜっ...ですわ♥」<*02>,
180,0x9247c#kabuto|0x9247e#kuwagata,おとなしく ヤキ入れられな!!<CD><*02>,
181,0x9247e#kabuto|0x92480#kuwagata,クロコゲ やきざかなっ!!<CD><*02>,
182,0x92480#kabuto|0x92482#kuwagata,A「きみたちに かてば...」<CD>B「まだ 言ってるよ...」<*02>,
183,0x92482#kabuto|0x92484#kuwagata,A「きみたちに かってれば...」<CD>C「いいかげん あきらめたら?」<*02>,
184,0x92484#kabuto|0x92486#kuwagata,あんたたち いいかげんに<CD>しゅやくの ざを わたしなさいよぉ!<*02>,
185,0x92486#kabuto|0x92488#kuwagata,たま-に 出るからこそ<CD>あくやくって 光るのよねぇ<*02>,
186,0x92488#kabuto|0x9248a#kuwagata,ふとどきものめ<CD>ばつを くだしてあげるわ<*02>,
187,0x9248a#kabuto|0x9248c#kuwagata,なんということ...<CD><*02>,
188,0x9248c#kabuto|0x9248e#kuwagata,さてと どうするかな...<CD><*02>,
189,0x9248e#kabuto|0x92490#kuwagata,まあ いい<CD>いまの うちだけはな...<*02>,
190,0x92490#kabuto|0x92492#kuwagata,<CD><*02>,
191,0x92492#kabuto|0x92494#kuwagata,<CD><*02>,
192,0x92494#kabuto|0x92496#kuwagata,<CD><*02>,
193,0x92496#kabuto|0x92498#kuwagata,<CD><*02>,
194,0x92498#kabuto|0x9249a#kuwagata,<CD><*02>,
195,0x9249a#kabuto|0x9249c#kuwagata,<CD><*02>,
196,0x9249c#kabuto|0x9249e#kuwagata,<CD><*02>,
197,0x9249e#kabuto|0x924a0#kuwagata,<CD><*02>,
198,0x924a0#kabuto|0x924a2#kuwagata,<FINAL>,
199#kabuto,0x924a2,@0x924a0,@0x924a0
199#kuwagata,0x924a4,@0x924a2,@0x924a2
200#kabuto,0x924a4,@0x924a0,@0x924a0
200#kuwagata,0x924a6,@0x924a2,@0x924a2
201#kabuto,0x924a6,@0x924a0,@0x924a0
201#kuwagata,0x924a8,@0x924a2,@0x924a2
202#kabuto,0x924a8,@0x924a0,@0x924a0
202#kuwagata,0x924aa,@0x924a2,@0x924a2
203#kabuto,0x924aa,@0x924a0,@0x924a0
203#kuwagata,0x924ac,@0x924a2,@0x924a2
204#kabuto,0x924ac,@0x924a0,@0x924a0
204#kuwagata,0x924ae,@0x924a2,@0x924a2
205#kabuto,0x924ae,@0x924a0,@0x924a0
205#kuwagata,0x924b0,@0x924a2,@0x924a2
206#kabuto,0x924b0,@0x924a0,@0x924a0
206#kuwagata,0x924b2,@0x924a2,@0x924a2
207#kabuto,0x924b2,@0x924a0,@0x924a0
207#kuwagata,0x924b4,@0x924a2,@0x924a2
208#kabuto,0x924b4,@0x924a0,@0x924a0
208#kuwagata,0x924b6,@0x924a2,@0x924a2
209#kabuto,0x924b6,@0x924a0,@0x924a0
209#kuwagata,0x924b8,@0x924a2,@0x924a2
210#kabuto,0x924b8,@0x924a0,@0x924a0
210#kuwagata,0x924ba,@0x924a2,@0x924a2
211#kabuto,0x924ba,@0x924a0,@0x924a0
211#kuwagata,0x924bc,@0x924a2,@0x924a2
212#kabuto,0x924bc,@0x924a0,@0x924a0
212#kuwagata,0x924be,@0x924a2,@0x924a2
213#kabuto,0x924be,@0x924a0,@0x924a0
213#kuwagata,0x924c0,@0x924a2,@0x924a2
214#kabuto,0x924c0,@0x924a0,@0x924a0
214#kuwagata,0x924c2,@0x924a2,@0x924a2
215#kabuto,0x924c2,@0x924a0,@0x924a0
215#kuwagata,0x924c4,@0x924a2,@0x924a2
216#kabuto,0x924c4,@0x924a0,@0x924a0
216#kuwagata,0x924c6,@0x924a2,@0x924a2
217#kabuto,0x924c6,@0x924a0,@0x924a0
217#kuwagata,0x924c8,@0x924a2,@0x924a2
218#kabuto,0x924c8,@0x924a0,@0x924a0
218#kuwagata,0x924ca,@0x924a2,@0x924a2
219#kabuto,0x924ca,@0x924a0,@0x924a0
219#kuwagata,0x924cc,@0x924a2,@0x924a2
220#kabuto,0x924cc,@0x924a0,@0x924a0
220#kuwagata,0x924ce,@0x924a2,@0x924a2
221#kabuto,0x924ce,@0x924a0,@0x924a0
221#kuwagata,0x924d0,@0x924a2,@0x924a2
