(3, ['Model', 'Name', 'IsFemale'], [203, 203, None], [(7, 0), (24, 0), (1, 0)], [False, False, True], None, None, True, None)
256
27372
Index[#version],Model,Name,IsFemale
110,BIC-03\xcb,Pedal Cannon\xcb,\x00
111,ECF-03\xcb,Hi Speed\xcb,\x00
112,CTP-03\xcb,Earth Creep\xcb,\x00
113,HCT-03\xcb,Kinky Hair\xcb,\x00
114,PLC-03\xcb,Capture\xcb,\x00
115,RSC-03\xcb,Rescue\xcb,\x00
116,FFC-03\xcb,Discharge\xcb,\x00
117,RAY-23\xcb,Flee Beam\xcb,\x00
118,GCT-03\xcb,Attender Skin\xcb,\x01
119,VNS-03\xcb,Jug Pot\xcb,\x01
120,BRA-13\xcb,Glow Masher\xcb,\x00
121,TOT-23\xcb,Rest Laser\xcb,\x00
122,HSC-03\xcb,Showser\xcb,\x00
123,STE-03\xcb,Dump Set\xcb,\x00
124,TOR-03\xcb,Trip Attack\xcb,\x00
125,MWO-03\xcb,Magnetty\xcb,\x00
126,ESM-03\xcb,Spicon\xcb,\x00
127,CCL-03\xcb,Bulb\xcb,\x00
128,EWM-03\xcb,Manure\xcb,\x00
129,STN-03\xcb,Hoopening\xcb,\x01
130,WHL-03\xcb,Spline\xcb,\x00
131,AMB-03\xcb,Mucilage\xcb,\x00
132,SAM-03\xcb,Tie-tie Up\xcb,\x00
133,SEL-03\xcb,Mona-monarch\xcb,\x00
134,CFS-03\xcb,Temblor\xcb,\x00
135,EEL-03\xcb,Hipopos\xcb,\x00
136,CRO-03\xcb,Overpower\xcb,\x00
137,UPA-03\xcb,Sum Fin\xcb,\x00
138,BBS-03\xcb,Surrounding\xcb,\x00
139,ARO-03\xcb,Shrimp Arm\xcb,\x00
140,HLG-03\xcb,Puppet Wire\xcb,\x00
141,JWB-03\xcb,Orient Harp\xcb,\x00
142,PSK-03\xcb,Demolish\xcb,\x00
143,SHS-03\xcb,Repress\xcb,\x00
144,CRP-03\xcb,Inefficiency\xcb,\x00
145,DLP-03\xcb,Get Back\xcb,\x01
146,GFS-03\xcb,Basket Work\xcb,\x01
147,TQN-03\xcb,Increase\xcb,\x01
148,DUC-03\xcb,Feather Darn\xcb,\x01
149,MRC-03\xcb,Lancer\xcb,\x01
150,TJO-03\xcb,Last Strike\xcb,\x01
151,BAY-03\xcb,--------\xcb,\x00
152,BAY-03\xcb,--------\xcb,\x01
